dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1.1362686221321496,0.3783125508417373,#D55E00,NU,16.45232142718532,0.467232384439835,0.2210569579392756,0.0196152378117528,3.2007397325715927,0.0242256682041027
Boston,0.93022220156487,0.6049886089450404,#CC79A7,SL_{0.1},13.468923070436858,0.7471871331981845,0.1823700463465787,0.0325863132425316,2.6405821323785927,0.0402455081189754
Wage,0.9882237284395294,0.6944321301177674,#D55E00,NU,0.0834258169014229,0.0281679428810019,0.0472783673201842,0.0116766542282471,0.0039912383217918,0.0004736349530467
Wage,0.9978763976743552,0.9229921580764756,#CC79A7,SL_{0.1},0.0842406949427205,0.0374389220497355,0.0486412928074157,0.0167107197868612,0.0041062964496994,0.0006778295243581
Boston,0.9600252729022672,0.5303782336377004,#CC79A7,SL_{0.25},13.900449295494552,0.6550400884299478,0.1984328479059181,0.027999893928724,2.8731595081222405,0.0345810816354678
Wage,0.9935649727518462,0.8259350847468633,#CC79A7,SL_{0.25},0.083876724582752,0.0335020389776891,0.0480353452906884,0.018166733435579,0.0040551423788877,0.0007368891610199
Carseats,1.1076486824294962,0.5911915752260234,#D55E00,NU,5.6907566380214005,0.2858562133422151,0.1018301940864381,0.0368782330325467,0.523172069033081,0.0178315667732667
Carseats,1.0141127341551368,0.826599478880615,#CC79A7,SL_{0.1},5.210197840832727,0.3996819421743679,0.0906845287484412,0.0494669594601564,0.465909084827429,0.023918537254911
Carseats,1.028109303062427,0.7276987306307565,#CC79A7,SL_{0.25},5.28210788657393,0.3518609065301986,0.0951095039581949,0.0409085971293443,0.4886432400225165,0.0197803506656294
College,1.0668666632644157,0.4619634723616295,#D55E00,NU,0.0611187768133072,0.0304884291843758,0.0776682640498173,0.0225961233318866,0.0044494682038455,0.0014912874009795
College,0.7850659692854761,0.991720843422822,#CC79A7,SL_{0.1},0.0449749471163199,0.0654510854522653,0.0610883784934312,0.0270425081357421,0.0034996378644005,0.00178473763315
