loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se,method,m
,,#1f77b4,tree,0.2518640784295253,0.0073651164800514,,,0.0017202008346854,0.0005436424183924,tree,baseline
,,#D55E00,NU,0.2518908255589946,0.0017517691304683,,,0.0017259209721753,0.0001865709664078,tree,NU
,,#009E73,"TR_{0,5}",0.251799858298815,0.008206053105809,,,0.0016925481799787,0.0006910197164184,tree,"TR_{0,5}"
,,#009E73,"TR_{5,5}",0.2517747588470613,0.0074505191906684,,,0.0017064279575724,0.0008685974504781,tree,"TR_{5,5}"
,,#009E73,"TR_{10,5}",0.2517402478784677,0.0071004142843071,,,0.0017035486095009,0.0009051029376796,tree,"TR_{10,5}"
,,#CC79A7,SL_{0.1},0.2516962731268732,0.0072397029669684,,,0.0017267149422872,0.0002387025653123,tree,SL_{0.1}
,,#CC79A7,SL_{0.25},0.2515666012430768,0.0059489651000586,,,0.0017034342727354,0.0003576745434407,tree,SL_{0.25}
,,#CC79A7,SL_{0.5},0.2516882849545828,0.0044821668855397,,,0.0017152888834174,0.000145081192124,tree,SL_{0.5}
,,#CC79A7,SL_{0.75},0.2516728063886419,0.0039125037776239,,,0.0017159687478505,0.0001779874884353,tree,SL_{0.75}
,,#CC79A7,SL_{0.9},0.2516610796084174,0.0033172816377063,,,0.0017023200021888,0.0001415001759462,tree,SL_{0.9}
,,#F0E442,ABU,0.2518468626606693,0.0051532955863623,,,0.0016949542800751,0.0001930824642497,tree,ABU
0.9851769927509424,21.339336646627963,#E69F00,BABU_{1},0.2517579180033591,0.0046997171627631,0.006810510789994,1.6689928108755725,0.0017403979484341,0.0003675744137547,tree,BABU_{1}
0.9852595981258496,16.15365747861585,#E69F00,BABU_{3},0.2517790274662836,0.0035576373600931,0.0066468969254942,1.230405840820004,0.0016985871000424,0.0002709812185365,tree,BABU_{3}
0.9855883791331888,15.596346476357292,#E69F00,BABU_{5},0.2518630460969417,0.0034348967086059,0.0067915843929272,0.9472434147361192,0.001735561385709,0.0002086182999626,tree,BABU_{5}
0.985851413871795,12.598320010513511,#E69F00,BABU_{7},0.2519302635397376,0.0027746195561682,0.0065757133983736,0.556605720936267,0.0016803964432204,0.0001225853222569,tree,BABU_{7}
0.985941893959512,10.90829638632758,#E69F00,BABU_{10},0.2519533853530483,0.0024024133735868,0.0067984820310152,1.006700877076638,0.0017373240486791,0.0002217130489158,tree,BABU_{10}
0.9865602078409594,8.90092208122749,#E69F00,BABU_{20},0.2521113929157615,0.0019603147446559,0.0068915880936581,2.2486625778981075,0.0017611169190536,0.0004952392984662,tree,BABU_{20}
0.9818490481141504,15.33784874081222,#1f77b4,rf,0.2509074754746013,0.0033779658740446,0.0065590404493767,0.2456919650216961,0.0016761357398572,5.4110526671311904e-05,rf,baseline
0.9837632184116394,10.672013442448684,#D55E00,NUrf,0.2513966338008164,0.0023503750640084,0.0066711778366399,0.1541283030457835,0.0017047919867605,3.3944796086540506e-05,rf,NU
0.9820274447467024,15.50737343367434,#009E73,TRrf,0.2509530639984103,0.0034153015289316,0.0065602839219553,0.5075661206672143,0.001676453504147,0.0001117849747646,rf,"TR_{0,5}"
0.9823061474147584,15.4960614276344,#009E73,TRrf2,0.2510242853159685,0.0034128102036477,0.0065523715265763,0.6207321646695831,0.0016744315241356,0.0001367083549074,rf,"TR_{5,5}"
0.9821228688968622,14.831442799332391,#009E73,TRrf3,0.2509774492464908,0.0032664364139724,0.0065633499957696,0.4994718388247882,0.001677237026667,0.0001100023122608,rf,"TR_{10,5}"
0.9822863746066902,14.57617758093203,#CC79A7,rf_{SL_{0.1}},0.2510192324564022,0.0032102175001496,0.0065882109084057,0.4193511776638873,0.0016835901303742,9.235675689119118e-05,rf,SL_{0.1}
0.9823886454915254,12.760277630627334,#CC79A7,rf_{SL_{0.25}},0.2510453673592956,0.002810288659641,0.0066009480800837,0.3990254815267041,0.0016868450620732,8.78802811430042e-05,rf,SL_{0.25}
0.9823407429648778,10.70088833694321,#CC79A7,rf_{SL_{0.5}},0.2510331260661426,0.0023567343918298,0.0066232136167044,0.2273261889501499,0.0016925349281421,5.006569836009308e-05,rf,SL_{0.5}
0.9823022958385697,9.4548641451699,#CC79A7,rf_{SL_{0.75}},0.2510233010615558,0.0020823134303788,0.0066111481083038,0.2212577322994523,0.0016894516372239,4.872919805808986e-05,rf,SL_{0.75}
0.9822343946398036,9.088553085523516,#CC79A7,rf_{SL_{0.9}},0.2510059491902098,0.0020016380840717,0.0065991468943604,0.2612037862595714,0.0016863847764891,5.7526807772480806e-05,rf,SL_{0.9}
0.9817368412856432,12.371109383640796,#F0E442,ABUrf,0.2508788014822744,0.0027245793088841,0.0065078166596842,0.2733290653471218,0.0016630457116286,6.019724608903732e-05,rf,ABU
0.9902207404247972,62.40291238597793,#E69F00,rf_{BABU_{1}},0.2530468269229212,0.013743446818583673,0.00656782866155032,0.33052882184509336,0.0016783815312389398,7.27947640799197e-05,rf,BABU_{1}
