dataset,loss,stability,color,marker,loss_abs,stability_abs,loss_se,stability_se,loss_abs_se,stability_abs_se
Boston,1,1,#3776ab,baseline,20.78597799,15.84265193,0.076662299,0.088576494,1.593500861,1.403286567
Boston,1.156472631,0.051688857,#D55E00,NU,24.03841465,0.81888857,0.073853366,0.006827735,1.535114432,0.10816943
Boston,1.001910918,0.823233316,#009E73,"TR_{0,5}",20.82569829,13.04219887,0.071356768,0.089071705,1.48322021,1.411132011
Boston,1.07454065,0.673392207,#009E73,"TR_{5,5}",22.33537831,10.66831834,0.078492893,0.088818935,1.631551546,1.407127465
Boston,1.064220448,0.488105215,#009E73,"TR_{10,5}",22.12086282,7.732881029,0.073254422,0.054176766,1.522664795,0.85830364
Boston,1.011292974,0.868130589,#CC79A7,SL_{0.1},21.02071349,13.75349075,0.080434487,0.087246374,1.671909478,1.382213928
Boston,1.025469909,0.647709958,#CC79A7,SL_{0.25},21.31539496,10.26144341,0.0824183,0.06222499,1.713144966,0.985808854
Boston,1.017023901,0.405482765,#CC79A7,SL_{0.5},21.13983643,6.423922309,0.079562814,0.036974326,1.653790904,0.585771375
Boston,1.012185143,0.240340459,#CC79A7,SL_{0.75},21.03925811,3.807630233,0.077572258,0.021496378,1.612415243,0.340559634
Boston,1.01648046,0.207061657,#CC79A7,SL_{0.9},21.12854047,3.280405753,0.079265557,0.016430256,1.647612118,0.260298822
Boston,0.950561495,0.903112572,#F0E442,ABU,19.75835032,14.30769813,0.073363003,0.085746989,1.524921758,1.358459702
Boston,0.88951349,0.833478701,#E69F00,BABU_{1},18.48940783,13.20451294,0.071060824,0.104515268,1.477068725,1.655799012
Boston,0.857160596,0.645246894,#E69F00,BABU_{3},17.81692128,10.22242195,0.06455855,0.078833117,1.341912603,1.248925641
Boston,0.783782034,0.584547697,#E69F00,BABU_{5},16.29167611,9.260785695,0.049249639,0.080809143,1.02370191,1.280231128
Boston,0.875145596,0.465544594,#E69F00,BABU_{7},18.1907571,7.375460963,0.067416248,0.070292729,1.40131265,1.113623243
